Hugo Symbol	ensembl	oncokb	mskcc	mane
KBTBD4	ENST00000430070	ENST00000395288	ENST00000430070	ENST00000430070
KDM5A	ENST00000399788	ENST00000399788	ENST00000399788	ENST00000399788
KDM5C	ENST00000375401	ENST00000375401	ENST00000375401	ENST00000375401
KDM5D	ENST00000317961	ENST00000317961		ENST00000317961
KDM6A	ENST00000611820	ENST00000377967	ENST00000377967	ENST00000611820
KDR	ENST00000263923	ENST00000263923	ENST00000263923	
KEAP1	ENST00000171111	ENST00000171111	ENST00000171111	ENST00000171111
KEL	ENST00000355265	ENST00000355265		ENST00000355265
KIAA1549	ENST00000422774			ENST00000422774
KIT	ENST00000288135	ENST00000288135	ENST00000288135	ENST00000288135
KLF2	ENST00000248071	ENST00000248071		ENST00000248071
KLF3	ENST00000261438	ENST00000261438		ENST00000261438
KLF4	ENST00000374672	ENST00000374672	ENST00000374672	ENST00000374672
KLF5	ENST00000377687	ENST00000377687	ENST00000377687	ENST00000377687
KLHL6	ENST00000341319	ENST00000341319		ENST00000341319
KMT2A	ENST00000534358	ENST00000534358	ENST00000534358	ENST00000534358
KMT2B	ENST00000420124	ENST00000420124	ENST00000420124	ENST00000420124
KMT2C	ENST00000262189	ENST00000262189	ENST00000262189	ENST00000262189
KMT2D	ENST00000301067	ENST00000301067	ENST00000301067	ENST00000301067
KMT5A	ENST00000402868	ENST00000402868	ENST00000402868	ENST00000402868
KNSTRN	ENST00000249776	ENST00000249776	ENST00000249776	
KRAS	ENST00000311936	ENST00000311936	ENST00000311936	ENST00000311936
KSR2	ENST00000339824	ENST00000339824		ENST00000339824
LARP4B	ENST00000316157	ENST00000316157		ENST00000316157
LATS1	ENST00000543571	ENST00000253339	ENST00000543571	ENST00000543571
LATS2	ENST00000382592	ENST00000382592	ENST00000382592	ENST00000382592
LCK	ENST00000336890	ENST00000336890		ENST00000336890
LEF1	ENST00000265165	ENST00000265165		ENST00000265165
LGR5	ENST00000266674	ENST00000266674		ENST00000266674
LMNA	ENST00000368300	ENST00000368300		ENST00000368300
LMO1	ENST00000335790	ENST00000335790	ENST00000335790	ENST00000335790
LMO2	ENST00000257818	ENST00000395833		ENST00000257818
LRP1B	ENST00000389484	ENST00000389484		ENST00000389484
LRP5	ENST00000294304	ENST00000294304		ENST00000294304
LRP6	ENST00000261349	ENST00000261349		ENST00000261349
LTB	ENST00000429299	ENST00000376117		ENST00000429299
LTK	ENST00000263800	ENST00000263800		ENST00000263800
LYN	ENST00000519728	ENST00000519728	ENST00000519728	ENST00000519728
LZTR1	ENST00000646124	ENST00000646124	ENST00000646124	ENST00000646124
